label,statement
false,anni list polit group support third-trimest abort demand
true,declin coal start ? start natur ga took start begin ( presid georg w. ) bush administr
true,hillari clinton agr john mccain `` vote give georg bush benefit doubt iran ``
false,health care reform legisl like mandat free sex chang surgeri
true,econom turnaround start end term
true,chicago bear start quarterback last 10 year total number tenur ( uw ) faculti fire last two decad
false,jim dunnam live district repr year
true,'m person stage work activ last year pass along russ feingold toughest ethic reform sinc waterg
true,howev took 19.5 million oregon lotteri fund port newport eventu land new noaa marin oper center-pacif
true,gop primari oppon glenn grothman joe leibham cast compromi vote cost 788 million higher electr cost
true,first time histori share nation popular vote margin smaller latino vote margin
true,sinc 2000 nearli 12 million american slip middl class poverti
false,mitt romney governor massachusett didnt slow rate growth govern actual cut
true,economi bled 24 billion due govern shutdown
false,( afford care act ) alreadi sen waiv otherwi suspend
true,last elect novemb ... 63 american peopl chose vote ... 80 young peopl ( ) 75 low-incom worker chose vote
true,mccain oppo requir govern buy american-mad motorcycl said buy-american provi quot 'disgrac '
false,u.s. rep. ron kind d-wis. fellow democrat went spend spree credit card max
true,water rate manila philippin rai 845 subsidiari world bank becam partial owner
true,"almost 100,000 peopl left puerto rico last year"
false,women men make less adjust inflat john kitzhab first elect governor
true,unit state highest corpor tax rate free world
true,best year auto industri america histori
true,"scott walker favor cut 350,000 famili children health care"
false,mitt romney want get rid plan parenthood
false,dont know ( jonathan gruber )
true,hate crime american muslim mosqu tripl pari san bernardino
true,rick perri never lost elect remain person texa governorship three time landslid elect
false,isi support tweet 10:34 a.m shoot began 10:45 a.m. chattanooga tenn
true,youth unemploy minor commun 40 45
true,paul ryan still endor trump
false,look state right work constantli budget deficit good busi climat
false,( obama administr ) go come next sever month even go abl burn coal limitedli exist plant
true,cut busi tax today 70 busi dont pay busi tax
true,mark pryor vote obama 93 time
true,feder govern think author regul toilet seat
true,austin citi basic doubl size everi 25 year sinc found
true,"nuclear test conduct nation time earth 's 2,054th nuclear test five perman member u.n. secur council conduct 99.99 total nuclear test"
false,case catastroph event atlanta-area offic center disea control prevent self-destruct
true,presid georg w. bush ad 4.9 trillion debt presid obama weve ad 6.5 trillion debt
false,u.s. suprem court justic suggest u.s. case decid base south african law
true,marco rubio skip 18 defen vote includ one arm kurd fight isi
false,rep. david cicillin respon feder loan guarant solyndra fail solar compani
false,ohio budget item later sign law gov john kasich requir women seek abort undergo mandatori vagin probe
false,director homeland secur use use term 'terrorist attack ' instead substitut 'man-mad disast '
true,african-american youth unemploy 51 hispan youth unemploy 36
false,obamacar provid insur non-u.s. resid even illeg
false,presid barack obama took exactli none deficit reduct commiss idea one
false,barack obama hillari clinton chang rule engag probabl cost ( capt humayun khan ) life
true,hillari clinton 2005 co-sponsor legisl would jail flag burner
false,paperback edit mitt romney book delet line massachusett individu mandat model countri
false,maggi hassan rai tuition make highest america
false,terri mcauliff person invent scheme rent lincoln bedroom
true,"creat 800,000 new job cut unemploy rate almost half today new york state privat sector job ever histori"
false,town west texa water truck water
true,georgia women earn 82 cent everi dollar earn men
true,feder system verifi employ author work u.s. inaccur anywh 50 way excess 80 time
false,go build wall ago long ago like 06 couldnt get environ impact statement
false,sen. obama 's campaign announc 's choo cabinet
true,2008 54 latino texa regist vote 35 actual turn
false,2 public high school countri offer pe class
true,said 's republican candid `` 's actual turn around govern economi ``
true,militari recruit harvard elena kagan `` took posit suprem court rule unanim wrong ``
true,"321,092 public school teacher texa 313,850 non-teach public school"
false,mayor cicillin [ provid ] sanctuari citi
false,transgend individu u.s. 1-in-12 chanc murder
true,bain capit help start earli childhood learn compani call bright horizon first ladi michel obama rightli prai
false,man rush stage dayton ohio chatter isi isi social media post
false,u.s. rep. phil gingrey gave govern power electron spi american without warrant
false,alex sink funnel three quarter million dollar no-bid contract bank america
true,take popul growth virginia net zero job creation sinc ( bob mcdonnel ) becam governor
false,obama home valu florida collap construct job lost state high foreclosur rate
true,new arizona immigr law `` polic offic stop anyon appear reason suspici undocu person ``
true,time histori debt higher end world war ii
true,cost health care single-biggest factor drive feder budget deficit
true,recess consum nativ perver begun save save rate 6.2
false,whether u.s. suprem court nomin forthcom confirm hear
false,one three u.s. homeless men veteran
false,charli crist support cut medicar advantag program
true,think unaccept chine today larger wind power solar panel photovolta manufactur europ put togeth -- forget unit state
true,scott brown co-sponsor legisl let employ deni women coverag birth control
true,point live 99 % women use birth control
false,past 20 year egypt made great stride polit democrat reform
false,amount attent paid week chri christi make coverag benghazi ... pale signif
true,u.s. rep. steve southerland vote keep shutdown go
true,rick perri texa import nur ... countri
true,feder crimin law crime transport dentur across state line
true,built new prison everi 10 day 1990 2005 keep mass incarc explo nonviol offend
false,sen. mccain 's tax plan provid `` virtual noth middl class ``
false,austin burden fastest-grow tax increa major citi nation
false,phoenix arizona 2 kidnap capit world
true,belong afl-cio
true,insur commiss cant squat health care
true,poll found republican candid could beat barack obama texa -- eight point
false,presid ronald reagan sent troop conflict one circumst grenada peacekeep set lebanon
false,david jolli support privat social secur
true,know us popul growth lowest sinc great depress ?
true,averag student florida actual pay pocket major univ tuition much less spend cellphon
true,sinc 1968 american die gunfir die war countri histori
true,foreclosur tax would take effect 2013 could mean high tax bill face foreclosur million famili modifi mortgag short sale lender
false,florida depart agricultur websit freshfromflorida.com use get permit carri load hidden gun without ever leav hou
false,"atlanta streetcar expect creat 930 job construct total 5,600 job next 20 year"
true,rai minimum wage 10.10 hour would help lift million american poverti
true,secretari state john kerri senat flew managua met communist dictat daniel ortega accu reagan administr engag terror
false,nato open major terror divi ... im sure im go get credit larg say critic nato
true,sen. obama alway 100 prochoic rate
true,sinc gina raimondo took offic invest fee state pension portfolio gone 12 million annual 50 million
true,( feder ) debt grow 4 billion day
true,presid barack obama job bill state would longer lay teacher firefight polic offic
false,"98,000 teacher k-12 53,000 teacher today 50 year old"
true,two-third wisconsinit receiv unemploy check requir search work due current work search exempt
true,"presid obama health-car reform premium averag plan famili didnt go 2,500 per year gone 2,500 per year"
true,ir also investig liber group group progress name ... ir basic look everybodi
false,obama promi unemploy would never go 8
true,economi creat job fastest pace sinc 1999
true,presid obama decid meet prime minist benjamin netanyahu new york
true,major state marri freeli still fire love
